Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
53	:	1744735293.903	    72.732	0	276	0	0	fetch_page 52000 GHCND
54	:	1744735333.646	    69.238	0	276	0	0	fetch_page 53000 GHCND
55	:	1744735335.995	    67.444	0	276	0	0	fetch_page 54000 GHCND
56	:	1744735350.606	    67.059	0	276	0	0	fetch_page 55000 GHCND
57	:	1744735366.337	    67.898	0	276	0	0	fetch_page 56000 GHCND
58	:	1744735366.640	    69.636	0	276	0	0	fetch_page 57000 GHCND
60	:	1744735403.441	    75.785	0	276	0	0	fetch_page 59000 GHCND
59	:	1744735402.887	    76.504	0	276	0	0	fetch_page 58000 GHCND
61	:	1744735417.668	    72.760	0	276	0	0	fetch_page 60000 GHCND
62	:	1744735434.238	    69.288	0	276	0	0	fetch_page 61000 GHCND
63	:	1744735436.284	    68.900	0	276	0	0	fetch_page 62000 GHCND
64	:	1744735479.229	    68.649	0	276	0	0	fetch_page 63000 GHCND
65	:	1744735479.396	    68.865	0	276	0	0	fetch_page 64000 GHCND
67	:	1744735503.529	    70.125	0	276	0	0	fetch_page 66000 GHCND
68	:	1744735505.186	    70.257	0	276	0	0	fetch_page 67000 GHCND
66	:	1744735490.431	    99.835	0	551	0	0	fetch_page 65000 GHCND
70	:	1744735548.264	    75.512	0	276	0	0	fetch_page 69000 GHCND
69	:	1744735547.882	    76.075	0	276	0	0	fetch_page 68000 GHCND
71	:	1744735573.656	    74.055	0	276	0	0	fetch_page 70000 GHCND
72	:	1744735575.446	    76.865	0	276	0	0	fetch_page 71000 GHCND
73	:	1744735590.268	    74.412	0	276	0	0	fetch_page 72000 GHCND
75	:	1744735623.961	    71.408	0	276	0	0	fetch_page 74000 GHCND
74	:	1744735623.779	    71.661	0	276	0	0	fetch_page 73000 GHCND
76	:	1744735647.715	    64.927	0	276	0	0	fetch_page 75000 GHCND
77	:	1744735652.316	    66.204	0	276	0	0	fetch_page 76000 GHCND
78	:	1744735664.683	    66.135	0	276	0	0	fetch_page 77000 GHCND
80	:	1744735695.443	    67.513	0	276	0	0	fetch_page 79000 GHCND
79	:	1744735695.383	    67.689	0	276	0	0	fetch_page 78000 GHCND
81	:	1744735712.646	    65.541	0	276	0	0	fetch_page 80000 GHCND
82	:	1744735718.523	    66.000	0	276	0	0	fetch_page 81000 GHCND
83	:	1744735730.823	    64.512	0	276	0	0	fetch_page 82000 GHCND
84	:	1744735762.978	    63.789	0	276	0	0	fetch_page 83000 GHCND
85	:	1744735763.076	    64.372	0	276	0	0	fetch_page 84000 GHCND
88	:	1744735795.348	    70.884	0	276	0	0	fetch_page 87000 GHCND
86	:	1744735778.190	   103.585	0	551	0	0	fetch_page 85000 GHCND
87	:	1744735784.528	   102.324	0	551	0	0	fetch_page 86000 GHCND
90	:	1744735827.452	    70.410	0	276	0	0	fetch_page 89000 GHCND
89	:	1744735826.773	    71.766	0	276	0	0	fetch_page 88000 GHCND
91	:	1744735866.235	    71.772	0	276	0	0	fetch_page 90000 GHCND
92	:	1744735881.780	    72.776	0	276	0	0	fetch_page 91000 GHCND
93	:	1744735886.856	    73.268	0	276	0	0	fetch_page 92000 GHCND
94	:	1744735897.865	    74.144	0	276	0	0	fetch_page 93000 GHCND
95	:	1744735898.543	    75.276	0	276	0	0	fetch_page 94000 GHCND
96	:	1744735938.009	    66.396	0	276	0	0	fetch_page 95000 GHCND
97	:	1744735954.559	    68.300	0	276	0	0	fetch_page 96000 GHCND
98	:	1744735960.126	    70.368	0	276	0	0	fetch_page 97000 GHCND
99	:	1744735972.013	    71.140	0	276	0	0	fetch_page 98000 GHCND
100	:	1744735973.823	    70.249	0	276	0	0	fetch_page 99000 GHCND
101	:	1744736004.410	    68.013	0	279	0	0	fetch_page 100000 GHCND
102	:	1744736022.863	    65.648	0	279	0	0	fetch_page 101000 GHCND
103	:	1744736030.497	    67.877	0	279	0	0	fetch_page 102000 GHCND
104	:	1744736043.156	    67.360	0	279	0	0	fetch_page 103000 GHCND
106	:	1744736072.429	    68.503	0	279	0	0	fetch_page 105000 GHCND
105	:	1744736044.075	   102.210	0	556	0	0	fetch_page 104000 GHCND
107	:	1744736088.514	    67.850	0	279	0	0	fetch_page 106000 GHCND
108	:	1744736098.377	    67.515	0	279	0	0	fetch_page 107000 GHCND
109	:	1744736110.518	    67.824	0	279	0	0	fetch_page 108000 GHCND
110	:	1744736140.936	    69.990	0	279	0	0	fetch_page 109000 GHCND
111	:	1744736146.288	    67.340	0	279	0	0	fetch_page 110000 GHCND
112	:	1744736156.366	    67.049	0	279	0	0	fetch_page 111000 GHCND
113	:	1744736165.897	    64.514	0	279	0	0	fetch_page 112000 GHCND
114	:	1744736178.345	    61.993	0	279	0	0	fetch_page 113000 GHCND
116	:	1744736213.635	    58.351	0	279	0	0	fetch_page 115000 GHCND
117	:	1744736223.419	    59.578	0	279	0	0	fetch_page 116000 GHCND
118	:	1744736230.414	    60.509	0	279	0	0	fetch_page 117000 GHCND
119	:	1744736240.340	    61.026	0	279	0	0	fetch_page 118000 GHCND
120	:	1744736271.989	    67.620	0	279	0	0	fetch_page 119000 GHCND
115	:	1744736210.930	   133.569	0	833	0	0	fetch_page 114000 GHCND
121	:	1744736283.001	    66.825	0	279	0	0	fetch_page 120000 GHCND
122	:	1744736290.928	    64.572	0	279	0	0	fetch_page 121000 GHCND
123	:	1744736301.368	    61.527	0	279	0	0	fetch_page 122000 GHCND
124	:	1744736339.614	    57.764	0	279	0	0	fetch_page 123000 GHCND
125	:	1744736344.503	    58.947	0	279	0	0	fetch_page 124000 GHCND
127	:	1744736355.504	    65.055	0	279	0	0	fetch_page 126000 GHCND
128	:	1744736362.899	    71.273	0	279	0	0	fetch_page 127000 GHCND
126	:	1744736349.829	   108.858	0	556	0	0	fetch_page 125000 GHCND
129	:	1744736397.384	   521.970	0	1385	0	0	fetch_page 128000 GHCND
132	:	1744736434.175	   522.532	0	1385	0	0	fetch_page 131000 GHCND
130	:	1744736403.455	   596.111	0	1387	0	0	fetch_page 129000 GHCND
131	:	1744736420.563	   589.825	0	1387	0	0	fetch_page 130000 GHCND
134	:	1744736919.372	    94.753	0	279	0	0	fetch_page 133000 GHCND
133	:	1744736458.690	   578.704	0	1387	0	0	fetch_page 132000 GHCND
135	:	1744736956.713	    89.882	0	277	0	0	fetch_page 134000 GHCND
136	:	1744736999.569	    99.657	0	277	0	0	fetch_page 135000 GHCND
137	:	1744737010.394	   109.750	0	277	0	0	fetch_page 136000 GHCND
138	:	1744737014.127	   115.230	0	277	0	0	fetch_page 137000 GHCND
141	:	1744737099.228	   110.536	0	278	0	0	fetch_page 140000 GHCND
142	:	1744737120.148	    99.719	0	278	0	0	fetch_page 141000 GHCND
143	:	1744737129.359	    93.447	0	278	0	0	fetch_page 142000 GHCND
139	:	1744737037.398	   199.805	0	552	0	0	fetch_page 138000 GHCND
140	:	1744737046.599	   198.390	0	552	0	0	fetch_page 139000 GHCND
144	:	1744737209.767	    69.278	0	278	0	0	fetch_page 143000 GHCND
145	:	1744737219.870	    68.314	0	278	0	0	fetch_page 144000 GHCND
146	:	1744737222.812	    67.751	0	278	0	0	fetch_page 145000 GHCND
147	:	1744737237.206	    63.265	0	278	0	0	fetch_page 146000 GHCND
148	:	1744737244.992	    63.120	0	278	0	0	fetch_page 147000 GHCND
150	:	1744737288.187	    69.526	0	278	0	0	fetch_page 149000 GHCND
152	:	1744737300.477	    75.016	0	278	0	0	fetch_page 151000 GHCND
153	:	1744737308.115	    72.713	0	278	0	0	fetch_page 152000 GHCND
149	:	1744737279.048	   104.367	0	554	0	0	fetch_page 148000 GHCND
151	:	1744737290.567	   102.529	0	554	0	0	fetch_page 150000 GHCND
154	:	1744737357.720	    65.948	0	278	0	0	fetch_page 153000 GHCND
155	:	1744737375.495	    69.509	0	278	0	0	fetch_page 154000 GHCND
156	:	1744737380.832	    69.904	0	278	0	0	fetch_page 155000 GHCND
157	:	1744737383.431	    71.180	0	278	0	0	fetch_page 156000 GHCND
158	:	1744737393.099	    72.561	0	278	0	0	fetch_page 157000 GHCND
159	:	1744737423.675	    70.762	0	278	0	0	fetch_page 158000 GHCND
160	:	1744737445.008	    71.225	0	278	0	0	fetch_page 159000 GHCND
161	:	1744737450.741	    68.177	0	278	0	0	fetch_page 160000 GHCND
162	:	1744737454.615	    68.713	0	278	0	0	fetch_page 161000 GHCND
163	:	1744737465.664	    68.411	0	278	0	0	fetch_page 162000 GHCND
164	:	1744737494.441	    63.026	0	278	0	0	fetch_page 163000 GHCND
165	:	1744737516.236	    63.427	0	278	0	0	fetch_page 164000 GHCND
166	:	1744737518.922	    64.307	0	278	0	0	fetch_page 165000 GHCND
167	:	1744737523.331	    75.813	0	278	0	0	fetch_page 166000 GHCND
168	:	1744737534.077	    68.047	0	278	0	0	fetch_page 167000 GHCND
170	:	1744737579.666	    74.988	0	278	0	0	fetch_page 169000 GHCND
171	:	1744737583.232	    76.457	0	278	0	0	fetch_page 170000 GHCND
169	:	1744737557.473	   112.476	0	554	0	0	fetch_page 168000 GHCND
172	:	1744737599.148	    88.878	0	278	0	0	fetch_page 171000 GHCND
173	:	1744737602.127	    87.286	0	278	0	0	fetch_page 172000 GHCND
174	:	1744737654.657	    86.129	0	278	0	0	fetch_page 173000 GHCND
175	:	1744737659.692	    86.450	0	278	0	0	fetch_page 174000 GHCND
176	:	1744737669.953	    80.917	0	278	0	0	fetch_page 175000 GHCND
177	:	1744737688.029	    74.930	0	278	0	0	fetch_page 176000 GHCND
178	:	1744737689.417	    74.878	0	278	0	0	fetch_page 177000 GHCND
